# ieee-iab.txt -- Ethernet vendor IAB file for arp-scan
#
# This file contains the Ethernet vendor IABs for arp-scan.  These are used
# to determine the vendor for a give Ethernet interface given the MAC address.
#
# Each line of this file contains an IAB-vendor mapping in the form:
#
# <IAB><TAB><Vendor>
#
# Where <IAB> is the first 36 bits of the MAC address in hex, and <Vendor>
# is the name of the vendor.
#
# Blank lines and lines beginning with "#" are ignored.
#
# This file was automatically generated by get-iab at 2018-12-24 19:37:33
# using data from http://standards-oui.ieee.org/iab/iab.txt
#
# Do not edit this file.  If you want to add additional MAC-Vendor mappings,
# edit the file mac-vendor.txt instead.
#
0050C2DD6	Transas Marine Limited                       
0050C2365	VPG                                          
0050C2368	ASPEL S.A.                                   
0050C235B	VLSIP TECHNOLOGIES, INC                      
0050C235E	Jobin Yvon,Inc                               
0050C2354	Advanced IP Communications                   
0050C234A	NIE Corporation                              
0050C2302	EuroDesign embedded technologies GmbH        
0050C22FC	Blackline Systems Corporation                
0050C22FF	Patria Advanced Solutions                    
0050C22FB	Arthur Industries Inc., dba On Hold Media Group
0050C22F8	SavvyCorp.com Ltd                            
0050C22F5	ADChips                                      
0050C22BB	TA Instruments Ltd                           
0050C22BD	StorLink Semi                                
0050C22B8	Admiral Secure Products, Ltd.                
0050C22B0	Telda Electronics                            
0050C22B3	Embedded Systems Design                      
0050C22EE	SHF Communication Technologies AG            
0050C22F2	Eurotek Srl                                  
0050C22EB	Lingg & Janke OHG                            
0050C22E8	S.M.V. Systemelektronik GmbH                 
0050C22E4	iamba LTD.                                   
0050C2316	Dataline AB                                  
0050C230F	Digicontrole Lda                             
0050C2310	CYBERTRON CO., LTD.                          
0050C230C	TEAMLOG                                      
0050C2309	Rackmaster Systems, Inc.                     
0050C2306	Noran Tel Communications Ltd.                
0050C2305	Symbium Corporation                          
0050C22AD	ABB T&D Spa                                  
0050C22A9	Dr. Staiger, Mohilo + Co GmbH                
0050C22A6	Brannstroms Elektronik AB                    
0050C22D0	Worth Data, Inc.                             
0050C22D4	Integrated System Solution Corp.             
0050C22CA	PUTERCOM CO., LTD                            
0050C22CD	DataWind Research                            
0050C22C6	Initial Electronic Security Systems          
0050C22C3	Digital SP Ltd                               
0050C229C	2N TELEKOMUNIKACE a.s.                       
0050C2299	CAD-UL GmbH                                  
0050C2295	LOGOSOL, INC.                                
0050C22DE	Research Applications                        
0050C22E1	Access IS                                    
0050C22D7	Neo Electronics Ltd                          
0050C22A3	West-Com Nurse Call Systems, Inc.            
0050C229F	Baudisch Electronic GmbH                     
0050C221F	Monitor Business Machines Ltd                
0050C2215	VoiceCom AG                                  
0050C2211	Hochschule für Technik, Wirtschaft und Kultur Leipzig (FH)
0050C2292	AMIRIX Systems                               
0050C228F	Spellman High Voltage Electronics Corp       
0050C2288	RPM Systems Corporation                      
0050C2285	Littwin GmbH & Co KG                         
0050C2281	CabTronix GmbH                               
0050C226D	DSP DESIGN                                   
0050C226A	FG SYNERYS                                   
0050C2267	Allen Martin Conservation Ltd                
0050C222F	HTEC Limited                                 
0050C2229	eko systems inc.                             
0050C2250	ACD Elektronik GmbH                          
0050C2243	RGB Spectrum                                 
0050C2246	Hardmeier                                    
0050C2247	Gradual Tecnologia Ltda.                     
0050C2282	Telvent                                      
0050C227E	AnaLogic Computers Ltd.                      
0050C2278	Replicom Ltd.                                
0050C227B	LinkSecurity A/S                             
0050C2277	T/R Systems, Inc.                            
0050C2271	VLSIP TECHNOLOGIES INC.                      
0050C2274	Fundación TECNALIA Research & Innovation     
0050C2264	Confidence Direct Ltd                        
0050C225A	Zendex Corporation                           
0050C2260	BIOTAGE                                      
0050C225D	RDTECH                                       
0050C2258	Spacesaver Corporation                       
0050C2255	STMicroelectronics SRL                       
0050C223C	Wheatstone Corporation                       
0050C223D	Gauging Systems Inc                          
0050C2232	SIMET                                        
0050C2233	EdenTree Technologies, Inc.                  
0050C2239	Stins Coman                                  
0050C21AE	Home Director, Inc                           
0050C21B2	SIGOS Systemintegration GmbH                 
0050C21A8	ANOVA BROADBAND                              
0050C21C6	Remco Italia Spa                             
0050C21C2	Weltronics Corp.                             
0050C21DA	GFI Chrono Time                              
0050C21D6	shanghai trend intelligent systems CO.,LTD   
0050C21D0	Yazaki North America, Inc.                   
0050C21A4	Protech Optronics Co. Ltd.                   
0050C219E	Paltronics, Inc.                             
0050C220B	Rafael                                       
0050C2207	Solectron Ind.Com.Servs.Exportadora do Brasil Ltda.
0050C2201	OlympusNDT                                   
0050C21FD	SouthWing S.L.                               
0050C21F7	ARC'Créations                                
0050C21E4	Soronti, Inc.                                
0050C21E0	Cognex Corporation                           
0050C21B8	Electronic Systems Development               
0050C2167	Precision Filters, Inc.                      
0050C2160	TTI - Telecom International Ltd.             
0050C215D	Cepheid                                      
0050C219A	AZIO TECHNOLOGY CO.                          
0050C218B	Teradyne Inc.                                
0050C2018	CAD-UL GmbH                                  
0050C2001	JMBS Developpements                          
0050C216A	Time Domain                                  
0050C2002	Integrated Automation Solutions              
0050C200E	TTTech                                       
0050C2064	Private                                      
0050C216F	Dickson Technologies                         
0050C2142	Instrumeter A/S                              
0050C2156	CommServ Solutions Inc.                      
0050C218F	MATSUI MFG CO.,LTD                           
0050C214C	Optibase Ltd.                                
0050C2153	Advanced Devices SpA                         
0050C2181	Task 84 Spa                                  
0050C2177	Unicoi Systems                               
0050C2103	Green Hills Software, Inc.                   
0050C2106	MATSUOKA                                     
0050C20FC	Kimmon Manufacturing Co., Ltd.               
0050C2117	Wintegra Ltd.                                
0050C2130	U.S. Traffic Corporation                     
0050C212D	Megisto Systems, Inc.                        
0050C2129	TTPCom Ltd.                                  
0050C2135	ELAD SRL                                     
0050C210D	Implementa GmbH                              
0050C20F9	Raven Industries                             
0050C20F5	Spectra Technologies Holding Co., Ltd.       
0050C2121	COE Limited                                  
0050C213F	Sentito Networks                             
0050C20F2	KMS Systems, Inc.                            
0050C20EE	Industrial Indexing Systems, Inc.            
0050C20E8	Audio Design Associates, Inc.                
0050C20E5	Clearwater Networks                          
0050C20DB	Cyberex                                      
0050C20D1	Renaissance Networking, Inc.                 
0050C20D4	Palm, Inc.                                   
0050C20CF	PCSC                                         
0050C20B4	Wavefly Corporation                          
0050C20AD	BMC Messsysteme GmbH                         
0050C20BE	Stella Electronics & Tagging                 
0050C20BA	Pro-Active                                   
0050C20B7	RYMIC                                        
0050C20C1	Casabyte                                     
0050C20DE	Frederick Engineering                        
0050C20C9	DSS Networks, Inc.                           
0050C2096	Utronix Elektronikutreckling AB              
0050C2092	DigitAll World Co., Ltd                      
0050C208F	General Industries Argentina                 
0050C208C	IP Unity                                     
0050C2085	Crossport Systems                            
0050C2082	GFI Chrono Time                              
0050C20A3	BaSyTec GmbH                                 
0050C2089	Fenwal Italia S.P.A.                         
0050C2088	TELINC Corporation                           
0050C207F	Dunti Corporation                            
0050C207E	JL-teknik                                    
0050C2057	Lite F GmBH                                  
0050C2052	Mayo Foundation                              
0050C2073	Alstom Signalling Ltd.                       
0050C206E	Avtron Manufacturing Inc.                    
0050C206B	NCast Corporation                            
0050C2065	Clever Devices, Ltd.                         
0050C205F	Malden Electronics Ltd                       
0050C2042	B.E.A.R. Solutions (Australasia) Pty, Ltd    
0050C2045	Chase Manhattan Bank                         
0050C2048	Cybectec Inc.                                
0050C2022	Ashling Microsystems Ltd.                    
0050C2021	DRS Technologies Canada Co.                  
0050C2036	Arcturus Networks Inc.                       
0050C2035	Alliant Techsystems, Inc.                    
0050C202C	Narrowband Telecommunications                
0050C202B	Nova Engineering Inc.                        
0050C2008	Portable Add-Ons                             
0050C2005	GD California, Inc.                          
0050C2BE4	Grupo Epelsa S.L.                            
0050C2133	TATTILE SRL                                  
0050C2C0C	Altierre                                     
0050C24F3	Autronica Fire And Securirty                 
0050C21BC	DINEC International                          
0050C24C2	Elbit Systems Ltd.                           
0050C2B76	ITF Fröschl GmbH                             
0050C28A1	Intune Networks                              
0050C2060	Private                                      
0050C2149	Haag-Streit AG                               
0050C20B0	LMI Technologies                             
0050C221B	GD Mission Systems                          
0050C2F1C	GD Mission Systems                          
0050C2102	Power Electronics Espana, S.L.               
0050C2ED5	RFL Electronics, Inc.                        
0050C21CC	WaveIP                                       
0050C2585	Wireless Cables Inc.                         
0050C22B7	RAFI GmbH & Co.KG                            
0050C2AC7	WaveIP                                       
0050C2F26	WaveIP                                       
0050C24F7	WaveIP                                       
0050C2FAB	Aplex Technology Inc.                        
0050C2F08	Aplex Technology Inc.                        
0050C2EC3	Aplex Technology Inc.                        
0050C2E6A	Aplex Technology Inc.                        
0050C2147	Aplex Technology Inc.                        
0050C2182	Georg Neumann GmbH                           
0050C219A	Rohde&Schwarz Topex SA                       
0050C2EE4	Rohde&Schwarz Topex SA                       
0050C2855	Rohde&Schwarz Topex SA                       
0050C2DD3	Rohde&Schwarz Topex SA                       
0050C26A5	EATON FHF Funke + Huster Fernsig GmbH        
0050C2CDC	ABB Transmission and Distribution Automation Equipment (Xiamen) Co., Ltd.
0050C2EEE	ABB Transmission and Distribution Automation Equipment (Xiamen) Co., Ltd.
0050C2D84	ABB Transmission and Distribution Automation Equipment (Xiamen) Co., Ltd.
0050C22DA	PYRAMID Computer GmbH                        
0050C24B1	NSFOCUS Information Technology Co., Ltd.     
0050C226E	ZP Engineering SEL                           
0050C2AFB	Vocality International Ltd                   
0050C2D9E	Vocality International Ltd                   
0050C26B1	Burk Technology                              
0050C2FF4	Burk Technology                              
0050C2098	DAVE SRL                                     
0050C2DF4	Potter Electric Signal Co. LLC               
0050C2B37	IAdea Corporation                            
0050C2888	IAdea Corporation                            
0050C2909	Elisra                                       
0050C2A78	Apantac LLC                                  
0050C2119	OOO Group of Industrial Technologies         
0050C20E2	Keocko Holding Kft.                          
0050C215A	DORLET SAU                                   
0050C206F	DORLET SAU                                   
0050C29E7	DORLET SAU                                   
0050C267C	Gogo BA                                      
0050C2EAF	Gogo BA                                      
0050C249E	Armorlink Co .Ltd                            
0050C2F33	Applied Micro Electronics AME bv             
0050C2E4C	Applied Micro Electronics AME bv             
0050C2194	Cominfo, Inc.                                
0050C228B	Orion Technologies,LLC                       
0050C2138	Delphin Technology AG                        
0050C284C	Performance Motion Devices                   
0050C23BA	Phytec Messtechnik GmbH                      
0050C263F	SPEECH TECHNOLOGY CENTER LIMITED             
0050C2FE7	Erhardt+Leimer GmbH                          
0050C2CEC	Erhardt+Leimer GmbH                          
0050C2FF1	DiTEST Fahrzeugdiagnose GmbH                 
0050C2926	DiTEST Fahrzeugdiagnose GmbH                 
0050C2624	Comtest Networks                             
0050C2D09	Guardtec,Inc                                 
0050C22C0	Magellan Technology Pty Limited              
0050C224D	Mettler Toledo Hi Speed                      
0050C2EA9	Mettler Toledo Hi Speed                      
0050C28F4	Critical Link LLC                            
0050C2E67	Critical Link LLC                            
0050C27E9	Sicon srl                                    
0050C2DA2	metraTec GmbH                                
0050C2717	MB connect line GmbH Fernwartungssysteme     
0050C28F9	Honeywell                                    
0050C2F0B	Treehaven Technologies, Inc.                 
0050C2225	nVent, Schroff GmbH                          
0050C2D3F	Communication Systems Solutions              
0050C2811	Open System Solutions Limited                
0050C21DF	Chengdu Meihuan Technology Co., Ltd          
0050C2F6B	Algodue Elettronica Srl                      
0050C2B51	Aeroflex GmbH                                
0050C2886	Transas Marine Limited                       
0050C2360	Digital Receiver Technology                  
0050C209D	EMAC, Inc.                                   
0050C28E3	bioMérieux Italia S.p.A.                     
0050C21E4	STEK Ltd                                     
0050C21BE	Peek Traffic                                 
0050C21BB	Micromega Dynamics SA                        
0050C21B6	Magic Systems                                
0050C2194	RF Code                                      
0050C2191	Soukai Electric                              
0050C218F	Beat Sensing co. , ltd.                      
0050C21A6	RB-LINK Wireless                             
0050C21DD	BaOpt Benelux bv                             
0050C21DA	Energy Technology and Control Ltd.           
0050C21D0	Webeasy BV                                   
0050C21B3	BETTINI SRL                                  
0050C21A9	Lubino s.r.o.                                
0050C21C8	Sensata Technologies                         
0050C21C5	Private                                      
0050C219C	Parris Service Corporation                   
0050C2185	Standard Change Makers                       
0050C2187	CDEX Corp.                                   
0050C2186	KST technology                               
0050C217D	Kiwigrid GmbH                                
0050C217B	LUCEO                                        
0050C2178	REDER Domotic GmbH                           
0050C2172	YAWATA ELECTRIC INDUSTRIAL CO.,LTD.          
0050C2157	Hitachi Power Solutions Co., Ltd.            
0050C2138	Calon Associates Limited                     
0050C2130	GSP Sprachtechnologie GmbH                   
0050C212D	Biotage Sweden AB                            
0050C212C	NSP Europe Ltd                               
0050C214C	PLT                                          
0050C214F	TDS Software Solutions Pty Ltd               
0050C2145	Weber Marking Systems GmbH                   
0050C2164	NFT Automatisierungssysteme GmbH             
0050C2161	Solidscape Inc                               
0050C216E	Secuinfo Co.Ltd                              
0050C216B	TECHWAY                                      
0050C2142	Tetracore, Inc.                              
0050C212B	Mango DSP, Inc.                              
0050C2123	ZAO NPC  Kompjuternie Technologii            
0050C2122	ATX Networks Ltd.                            
0050C20D0	Icraft Oy                                    
0050C20E5	Triton Electronics LTD                       
0050C20DD	Embed Limited                                
0050C20DB	Top Connect OU                               
0050C20DC	NVS Technologies Inc                         
0050C211E	CEMSI, Inc.                                  
0050C2121	shanghai Anjian Information technology co. , ltd.
0050C2117	RCS Energy Management Limited                
0050C2118	University of Nebraska -- Lincoln            
0050C20D8	NEXT! s.c. S.Piela B.Dryja                   
0050C20FD	MONOGRAM technologies ltd                    
0050C210A	DAVIS DERBY LIMITED                          
0050C2107	Smith Meter, Inc                             
0050C210E	HKS-Prozesstechnik GmbH                      
0050C20EF	GeneSys Elektronik GmbH                      
0050C20E7	LIGHTSTAR                                    
0050C20E6	Kyoritsu Electric Corp.                      
0050C20F3	ECON Systems Inc.                            
0050C20C6	comtime GmbH                                 
0050C20B9	WxBR Sistemas de Telecomunicacoes Ltda       
0050C20B6	Telvent                                      
0050C20AF	EnVerv Inc.                                  
0050C20AC	Fraunhofer HHI                               
0050C20A2	Xemex NV                                     
0050C2083	DELOPT                                       
0050C2074	Sphere Medical Ltd                           
0050C2069	Smartcom-Bulgaria AD                         
0050C207E	TESCOM CORPORATION                           
0050C2078	NACHI-FUJIKOSHI CORP                         
0050C2077	TOEC TECHNOLOGY CO.,LTD                      
0050C2093	Sentry 360 Security                          
0050C208B	MeshWorks Wireless Oy                        
0050C205C	Rosslare Enterprises Limited                 
0050C2055	Helmholtz Zentrum Dresden Rossendorf e.V.    
0050C2052	DAN ELECTRONICS SYSTEM (P) LIMITED           
0050C200D	HuNS                                         
0050C2008	Kaori Industria Eletronica Ltda              
0050C2005	Monarch Instrument                           
0050C2FE8	Mango DSP, Inc.                              
0050C2FEA	Brunel GmbH Section Communications           
0050C202C	InventLab s.c.                               
0050C2024	Electrical Geodesics Incorporated            
0050C203E	Vishay Celtron Technologies, Inc.            
0050C2039	CI Systems Ltd                               
0050C2FFC	Spirent Communications                       
0050C2FFD	Touchless Biometric Systems AG               
0050C2FF3	CONTROL SYSTEMS Srl                          
0050C2FF2	GLOBALCOM ENGINEERING SRL                    
0050C2043	SchulerControl GmbH                          
0050C201A	MEGGITT DEFENSE SYSTEMS INC.                 
0050C201D	Scharco Elektronik GmbH                      
0050C201E	A2S                                          
0050C2017	Franke Aquarotter GmbH                       
0050C2062	Tech Source Inc                              
0050C205F	EPSa GmbH                                    
0050C2FE0	Azurtest                                     
0050C2FDE	Peek Traffic                                 
0050C2FDF	ACD Elektronik GmbH                          
0050C2FD5	American Microsystems, Ltd.                  
0050C2FD6	City Computing Ltd                           
0050C2FAE	ATI Automação Telecomunicações e Informática Ltda
0050C2FAD	Finishing Brands                             
0050C2FA6	Hilkom digital GmbH                          
0050C2FC2	ELTA                                         
0050C2FC1	Motec Pty Ltd                                
0050C2F81	PLDA                                         
0050C2F77	SYSTEMTECHNIK GmbH                           
0050C2F76	Rong Jie(FuZhou)Electronics Co.,Ltd          
0050C2F6D	Pro Design Electronic GmbH                   
0050C2F6C	Pro Design Electronic GmbH                   
0050C2FB7	Pounce Consulting                            
0050C2FB8	TECHNO CO.,LTD.                              
0050C2F94	Digital Barriers                             
0050C2F95	TTi LTD (Thurlby Thandar Instruments LTD)    
0050C2F8A	EMAC, Inc.                                   
0050C2F8B	comlet Verteilte Systeme GmbH                
0050C2FCB	Propagation Systems Limited                  
0050C2FCC	Soudronic AG                                 
0050C2FCA	Telemisis Ltd                                
0050C2F9D	JSC Kaluga Teletypes Manufacturing Plant     
0050C2F9C	R&D KOMETEH                                  
0050C2EF5	Human Network Labs, Inc.                     
0050C2EF6	Netline Communication Technologies           
0050C2F59	G3 Technologies                              
0050C2EED	Future Design Controls, Inc                  
0050C2EEB	fibrisTerre GmbH                             
0050C2EE2	System Industrie Electronic GmbH             
0050C2EE3	Tecnint HTE SRL                              
0050C2EE1	Procon Electronics                           
0050C2F4F	BAP Precision Ltd.                           
0050C2F4E	Heinzinger electronic GmbH                   
0050C2F45	HUSTY M.Styczen J.Hupert Sp.J.               
0050C2F44	Steinbichler Optotechnik GmbH                
0050C2F62	EMAC, Inc.                                   
0050C2F0A	HASCOM International Pty Ltd                 
0050C2F09	Wheatstone Corporation                       
0050C2EFF	Zephyrus Electronics LTD.                    
0050C2F00	Syscom Instruments                           
0050C2F27	ELAN SYSTEMS                                 
0050C2F28	Vertex Antennentechnik GmbH                  
0050C2F1E	Dell'Orto S.P.A.                             
0050C2F14	VISION SYSTEMS AERONAUTIC                    
0050C2F13	Packet Plus, Inc.                            
0050C2F39	InForce Computing, Inc.                      
0050C2F3A	Saia-Burgess Controls AG                     
0050C2F31	Ruetz Technologies GmbH                      
0050C2F32	Net4Things                                   
0050C2E69	Netmaker                                     
0050C2E68	Kyoritsu Electric Corporation                
0050C2E80	Saia-Burgess Controls AG                     
0050C2E7F	LS Control A/S                               
0050C2E74	Will corp.                                   
0050C2E73	ACS Motion Control Ltd.                      
0050C2E71	traffic network solutions s.l                
0050C2E92	CT Company                                   
0050C2E8A	Macronet s.r.l.                              
0050C2E88	Pivitec, LLC                                 
0050C2E89	PROTEQSEN                                    
0050C2EA7	Saia-Burgess Controls AG                     
0050C2EA6	Powersense A/S                               
0050C2EB2	Otaki Electric Corporation                   
0050C2EB0	Pulse Communication Systems Pvt. Ltd.        
0050C2EB1	PDU EXPERT UK LTD                            
0050C2EC5	RSUPPORT Co., Ltd.                           
0050C2EC4	Logical Electromechanical Sys Inc.           
0050C2EBC	Diehl AKO Stiftung & Co. KG                  
0050C2EBA	West-Com Nurse Call Systems, Inc.            
0050C2EBB	TimeTerminal Adductor Group AB               
0050C2ED6	Cat AB                                       
0050C2ECF	TAIWAN HIPLUS CORPORATION                    
0050C2ECE	easii ic adiis                               
0050C2ED7	FBT Elettronica spa                          
0050C2E9E	American Microsystems, Ltd.                  
0050C2E9C	SPARQ systems                                
0050C2E9D	nicai-systems                                
0050C2E94	ANA-U GmbH                                   
0050C2E93	Perceptive Pixel Inc.                        
0050C2E4A	GHL Systems Bhd                              
0050C2E40	Ecrin Systems                                
0050C2E23	VITEC                                        
0050C2E22	Michael Riedel Transformatorenbau GmbH       
0050C2E1A	Rosslare Enterprises Limited                 
0050C2E19	Zoe Medical                                  
0050C2E0D	Unixmedia Srl                                
0050C2E0E	PMAC JAPAN                                   
0050C2E41	Higeco S.r.l.                                
0050C2E42	Wings for Media SL                           
0050C2E38	Aesir Copenhagen                             
0050C2E37	FUJI DATA SYSTEM Co., Ltd                    
0050C2E36	Saia-Burgess Controls AG                     
0050C2E2D	Funkwerk IT Karlsfeld GmbH                   
0050C2E2E	DS! Ingenieurbuero                           
0050C2E2C	EN ElectronicNetwork Hamburg GmbH            
0050C2E07	Protagon Process Technologies GmbH           
0050C2E06	Ebner Electronic GmbH                        
0050C2E05	NOCOSIUM                                     
0050C2E5F	Pantec Engineering AG                        
0050C2E5E	OREP                                         
0050C2E55	TTi Ltd                                      
0050C2E54	Arcos Technologies LTD                       
0050C2D96	CONTEC GmbH                                  
0050C2D97	ERS electronic GmbH                          
0050C2DB4	ZAO NPC Kompjuternie Technologii             
0050C2DB3	LAUDA DR. R. WOBSER GMBH & CO. KG            
0050C2DB2	SoftwareCannery                              
0050C2DE5	Neets                                        
0050C2DE4	EGS Technologies Ltd                         
0050C2DDA	rbz robot design s.l.                        
0050C2DDB	LUCEO                                        
0050C2DD0	IDC Solutions Pty Ltd                        
0050C2DD1	Brankamp GmbH                                
0050C2DD2	Electronic Applications, Inc.                
0050C2DC7	AGT Holdings Limited                         
0050C2DC8	T2M2 GmbH                                    
0050C2DC6	Fluid Components International               
0050C2DBE	WITHSYSTEM Co.,Ltd                           
0050C2DBC	Nantes Systems Private Limited               
0050C2DBD	Margento R&D                                 
0050C2DA8	Sine Systems, Inc.                           
0050C2DA0	Precision Remotes                            
0050C2D9F	BitWise Controls                             
0050C2DF3	INSEVIS GmbH                                 
0050C2DF1	Saia-Burgess Controls AG                     
0050C2DF2	Ocean Sonics                                 
0050C2DFD	Wotbox ltd                                   
0050C2DFC	I-Evo Ltd                                    
0050C2DFB	BETTINI SRL                                  
0050C2CFF	Infrasafe, Inc.                              
0050C2CFE	Techleader                                   
0050C2CF4	Baudisch Electronic GmbH                     
0050C2D8D	CS-Instruments                               
0050C2D8C	iRphotonics                                  
0050C2D1F	Olympus NDT Canada Inc.                      
0050C2D20	7+ Kft                                       
0050C2D15	MSR-Office GmbH                              
0050C2D16	Imricor Medical Systems, Inc.                
0050C2D6E	BC Illumination, Inc.                        
0050C2D6F	Imtron Messtechnik GmbH                      
0050C2D6D	Pro-Digital Industria Eletronica             
0050C2D63	DATAREGIS S.A.                               
0050C2D64	TV1 GmbH                                     
0050C2D65	TX Technology Corp                           
0050C2D3C	ASSYSTEM France                              
0050C2D3D	Tellabs Operations Inc.                      
0050C2D34	GAON TECH corp.                              
0050C2D33	Maddalena S.p.A                              
0050C2D32	RealTime Systems Ltd                         
0050C2D28	Digitale Analoge COMponenten West Electronic Vertriebs GmbH
0050C2D29	Axible Technologies                          
0050C2D2A	Millennium Electronics Pty.Ltd.              
0050C2D50	Solbrig Electronics, Inc.                    
0050C2D45	Technagon GmbH                               
0050C2D44	Saia-Burgess Controls AG                     
0050C2D3E	Synatec Electronic GmbH                      
0050C2D82	Audio Authority Corp                         
0050C2D83	Blankom                                      
0050C2D81	Tattile srl                                  
0050C2D77	Fr.SauterAG                                  
0050C2D78	P4Q Electronics                              
0050C2D79	DSI RF Systems, Inc.                         
0050C2D0C	JVL Industri Elektronik                      
0050C2D0B	CODACO ELECTRONIC s.r.o.                     
0050C2D5B	Infinition Inc.                              
0050C2D5A	Embedded Monitoring Systems Ltd.             
0050C2D51	BETTINI SRL                                  
0050C2C82	Kyosha Industries                            
0050C2CEA	Keith & Koep GmbH                            
0050C2CEB	Toyon Research Corporation                   
0050C2BBC	ImpactSystems                                
0050C2BC1	Sentec Ltd                                   
0050C2BBB	GHL Systems Berhad                           
0050C2BB5	MROAD INFORMATION SYSTEM                     
0050C2BB4	JSC Electrical Equipment Factory             
0050C2BB0	Gainbrain                                    
0050C2BAD	Prediktor AS                                 
0050C2BAF	MangoDSP                                     
0050C2BAC	VITECO VNPT JSC                              
0050C2C27	Qtechnology A/S                              
0050C2C21	Private                                      
0050C2C1D	Powerbase Energy Systems Inc.                
0050C2C1C	Becton Dickinson                             
0050C2C17	Axis-Shield PoC AS                           
0050C2B91	Finnet-Service Ltd.                          
0050C2B8F	Gentec                                       
0050C2B8E	WAC (Israel) Ltd.                            
0050C2B88	Gigatronik  Köln GmbH                        
0050C2B87	EMAC, Inc.                                   
0050C2B85	SilverNet                                    
0050C2B84	Innovate Software Solutions Pvt Ltd          
0050C2B7E	NARETRENDS                                   
0050C2B7F	Enatel                                       
0050C2BD0	EDC wifi                                     
0050C2BCE	TV Portal Co., Ltd.                          
0050C2BCF	Epiko, elektronski sistemi d.o.o.            
0050C2BCB	ARTEIXO TELECOM                              
0050C2BCC	VVDN TECHNOLOGIES PVT. LTD.                  
0050C2BC5	Toptechnology SRL                            
0050C2BC6	MireroTack                                   
0050C2C0D	Fr. SauterAG                                 
0050C2C03	Volumatic Limited.                           
0050C2BDA	Digital Lumens                               
0050C2BD6	BG Systems, Inc.                             
0050C2BD8	b.a.b-technologie gmbh                       
0050C2BD9	AMS Controls, Inc.                           
0050C2BD5	RF-Embedded GmbH                             
0050C2BA6	Jomitek                                      
0050C2BA5	InterCel Pty Ltd                             
0050C2BA2	Logical Tools s.r.l.                         
0050C2BA3	DSP DESIGN LTD                               
0050C2B9B	Telventy Energia S.A.                        
0050C2B98	Southwest Research Institute                 
0050C2B99	Greenlight Innovation Corp.                  
0050C2C31	4D Technology Corporation                    
0050C2C2B	Z-App Systems, Inc.                          
0050C2B11	EXEL s.r.l                                   
0050C2B12	CM Elektronik GmbH                           
0050C2B0E	KYAB Lulea AB                                
0050C2B10	Marine Entertainment Systems Ltd             
0050C2B0D	Japan Electronics System, Inc                
0050C2B24	Teledyne Defence Limited                     
0050C2B21	Phytron-Elektronik GmbH                      
0050C2B22	FarSite Communications Limited               
0050C2B1C	Phytec Messtechnik GmbH                      
0050C2B1B	Integrated  Control Corp.                    
0050C2B1A	ELCUS                                        
0050C2B18	Rosslare Enterprises Limited                 
0050C2B17	Elcoteq Design Center Oy                     
0050C2B70	Nisshin Electronics co.,ltd.                 
0050C2B6A	Phytec Messtechnik GmbH                      
0050C2B6B	Phytec Messtechnik GmbH                      
0050C2B69	Thetis S.p.A.                                
0050C2B67	RC Systems Co. Inc.                          
0050C2B66	Deuta-Werke GmbH                             
0050C2B61	Nayos LTD                                    
0050C2B60	OOO NPF ATIS                                 
0050C2B5D	Plitron Manufacturing Inc.                   
0050C2B5F	North Bridge Technologies                    
0050C2B5C	ADI Video Technologies                       
0050C2B57	Phytec Messtechnik GmbH                      
0050C2B56	SINOVIA SA                                   
0050C2B55	SANYO ELECTRONIC INDUSTRIES CO.,LTD          
0050C2B52	SMH Technologies                             
0050C2B4D	Troll Systems Corporation                    
0050C2B4C	ElectroCom                                   
0050C2B7D	ELETECH Srl                                  
0050C2B7B	QUARTECH CORPORATION                         
0050C2B7A	Schnoor Industrieelektronik GmbH & Co. KG    
0050C2B74	AXED Jakubowski Wojciechowski sp.j.          
0050C2B75	Blankom                                      
0050C2B73	ARKRAY, Inc. Kyoto Laboratory                
0050C2B71	Digitale Analoge COMponenten West Electronic Vertriebs GmbH
0050C2B4A	Saia-Burgess Controls AG                     
0050C2B44	Ampcontrol Pty Ltd                           
0050C2B43	J-Systems Inc.                               
0050C2B40	Tecnint HTE SRL                              
0050C2B42	ETM Electromatic Incorporated                
0050C2B3F	M-Tronic Design and Technology GmbH          
0050C2B3A	Nikon Systems Inc.                           
0050C2B38	Grenmore Ltd                                 
0050C2B39	siXis, Inc.                                  
0050C2B35	haneron                                      
0050C2B36	CRDE                                         
0050C2B2C	Concepteers, LLC                             
0050C2B2E	ACT                                          
0050C2B2F	IntelliVision Technologies, Corp             
0050C2B2B	CosmoData Informatica Ltda.                  
0050C2B26	Elko Systems                                 
0050C2B03	Spider Tecnologia Ind. e Com. Ltda.          
0050C2AFA	Absolute Fire Solutions Inc.                 
0050C2AFD	HomeScenario, Inc.                           
0050C2AFE	Trolex Limited                               
0050C2AF9	Ingenieurbuero Bickele und Buehler GmbH      
0050C2B08	Goerlitz AG                                  
0050C2B07	FARECO                                       
0050C2A9B	PDQ Manufacturing  Inc.                      
0050C2A9A	Absolutron. LLC                              
0050C2A96	FEP SRL                                      
0050C2A91	Ceron Tech Co.,LTD                           
0050C2A90	S.two Corporation                            
0050C2AF3	Palomar Products, Inc.                       
0050C2AF4	Dixell S.p.A.                                
0050C2AEF	National CineMedia                           
0050C2AEE	IPtec, Inc.                                  
0050C2AEA	EMBEDIA                                      
